date,time,model,condition,seller,country,price_eur,cpu,gpu,ram_gb,storage_gb,psu,form_factor,warranty,shipping_to_germany,upgrade_score,engineering_score,remote_score,value_score,rarity_score,rating,market_reference_eur,discount_vs_market_pct,trend_vs_history,product_url,notes
2026-08-30,14:00,SYSTEMTREFF GOLEM ENTRY PLUS 5700X / RTX 5060,New,SYSTEMTREFF,DE,1229.90,AMD Ryzen 7 5700X,NVIDIA GeForce RTX 5060 8GB,32,1000,,Mid Tower,3 years + 30-day return,yes,4,6.5,8,6.8,4,🟡 普通好价,1300,5.4,Baseline,https://www.systemtreff.de/GOLEM-ENTRY-PLUS-AMD-Ryzen-7-5700X-32GB-DDR4-GeForce-RTX-5060-8GB-1TB-4455,Low-cost baseline; AM4/DDR4 limits five-year CPU upgrade path
2026-08-30,14:00,SYSTEMTREFF Ultra 5 245KF / RTX 5060,New,SYSTEMTREFF,DE,1279.90,Intel Core Ultra 5 245KF,NVIDIA GeForce RTX 5060 8GB,32,1000,,Mid Tower,3 years + 30-day return,yes,7,8,8.5,9.4,7,✅ 很值,1450,11.7,Baseline,https://www.systemtreff.de/Gaming-PC-Intel-Core-Ultra-5-245KF-6x-420GHz-32GB-DDR5-6000-CL30-Kingston-Nvidia-GeForce-RTX-5060-8GB-1TB-MSI-Spatium-M470-Pro,Best budget-fit baseline; 32GB DDR5 and strong CPU but 8GB VRAM
2026-08-30,14:00,SYSTEMTREFF Ryzen 7 7700X / RTX 5060,New,SYSTEMTREFF,DE,1369.90,AMD Ryzen 7 7700X,NVIDIA GeForce RTX 5060 8GB,32,1000,,Mid Tower,3 years + 30-day return,yes,9,8.3,8.5,8.9,6,✅ 很值,1500,8.7,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-7-7700X-8x-45GHz-32GB-DDR5-6000-CL30-Kingston-FURY-Nvidia-GeForce-RTX-5060-8GB-GDDR7-1TB-M2-SSD-NVMe-MSI-Spatium-M470-Pro-PCIe-40,AM5 platform gives strong long-term upgrade path
2026-08-30,14:00,SYSTEMTREFF Ryzen 7 7700 / RTX 5060 Ti 8GB,New,SYSTEMTREFF,DE,1524.90,AMD Ryzen 7 7700,NVIDIA GeForce RTX 5060 Ti 8GB,32,1000,,Mid Tower,3 years + 30-day return,yes,9,8.5,8.5,8.8,6,✅ 很值,1600,4.7,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-7-7700-32GB-DDR5-GeForce-RTX-5060-Ti-8GB-1TB-2262,Balanced CPU platform; 8GB GPU memory is the main engineering limitation
2026-08-30,14:00,SYSTEMTREFF Ryzen 7 7700 / RTX 5060 Ti 16GB,New,SYSTEMTREFF,DE,1709.90,AMD Ryzen 7 7700,NVIDIA GeForce RTX 5060 Ti 16GB,32,1000,,Mid Tower,3 years + 30-day return,yes,9,9,8.5,8.5,6,✅ 很值,1750,2.3,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-7-7700-32GB-DDR5-GeForce-RTX-5060-Ti-16GB-1TB-1309,16GB VRAM makes this a useful CAD/CUDA/large-scene reference
2026-08-30,14:00,SYSTEMTREFF Ryzen 5 7500F / RTX 5070,New,SYSTEMTREFF,DE,1719.90,AMD Ryzen 5 7500F,NVIDIA GeForce RTX 5070 12GB,32,1000,750W be quiet! System Power 11 M Gold,Mid Tower,3 years + 30-day return,yes,9,7.5,9,9.1,7,✅ 很值,1900,9.5,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-5-7500F-32GB-DDR5-GeForce-RTX-5070-12GB-1TB-4088,Excellent GPU value and standard AM5/B850 platform; CPU is weaker for heavy multicore engineering
2026-08-30,14:00,SYSTEMTREFF Ryzen 7 7700 / RTX 5070,New,SYSTEMTREFF,DE,1814.90,AMD Ryzen 7 7700,NVIDIA GeForce RTX 5070 12GB,32,1000,,Mid Tower,3 years + 30-day return,yes,9,9.2,9,9.6,8,🔥 错过可惜,2000,9.3,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-7-7700-32GB-DDR5-GeForce-RTX-5070-12GB-1TB-2936,Overall performance/value leader in baseline although above target budget
2026-08-30,14:00,SYSTEMTREFF Ryzen 7 7800X3D / RTX 5070,New,SYSTEMTREFF,DE,1939.90,AMD Ryzen 7 7800X3D,NVIDIA GeForce RTX 5070 12GB,32,1000,,Mid Tower,3 years + 30-day return,yes,9,8.7,9,9.3,7,✅ 很值,2150,9.8,Baseline,https://www.systemtreff.de/Gaming-PC-AMD-Ryzen-7-7800X3D-32GB-DDR5-GeForce-RTX-5070-12GB-1TB-4039,Strong high-performance anchor; X3D premium matters more for gaming than many engineering workloads
2026-08-30,14:00,BoostBoxx GameStar PC Ultimate Ryzen,New,GameStar Shop / BoostBoxx,DE,2079.00,AMD Ryzen 7 7700,NVIDIA GeForce RTX 5070 12GB,32,2000,,Mid Tower,3 years,yes,8,9,9,8.4,5,🟡 普通好价,2100,1.0,Baseline,https://shop.gamestar.de/hardware/gaming-pcs/gamestar-pcs/1852/gamestar-pc-ultimate-ryzen-ryzen-7-7700-rtx-5070-32-gb-ram-2000-gb-ssd,2TB and 3-year warranty justify some premium but not a rare deal
2026-08-30,14:00,Captiva Workstation R98-395,New,notebooksbilliger.de,DE,2640.99,AMD Ryzen 9 9900X,NVIDIA GeForce RTX 5060 Ti 16GB,64,1000,,Workstation Tower,Standard statutory warranty; optional NBB protection,yes,8,10,8.5,6.8,4,🟡 普通好价,2700,2.2,Baseline,https://www.notebooksbilliger.de/captiva%2Bpc%2Bworkstation%2Br98%2B395%2B924449,64GB memory-heavy engineering anchor for tracking RAM-price inflation
